route,people_summer,people_autumn,change_people_flat
OSL-TOS,55568,21141,34427
TOS-OSL,44764,15788,28976
OSL-BOO,45600,17247,28353
OSL-TRD,51073,24217,26856
BOO-OSL,41167,14560,26607
OSL-EVE,38234,14272,23962
OSL-BGO,46176,22343,23833
EVE-OSL,36203,13087,23116
OSL-SVG,41431,18998,22433
TRD-OSL,39395,20151,19244
SVG-OSL,34236,16975,17261
BGO-OSL,36257,19578,16679
OSL-ALF,16299,6815,9484
KKN-OSL,13871,5255,8616
OSL-AES,16706,8513,8193
OSL-KKN,13549,5518,8031
AES-OSL,14920,7272,7648
BDU-OSL,12346,4754,7592
OSL-BDU,11969,4958,7011
OSL-KRS,10884,4917,5967
ALF-OSL,9071,3107,5964
KRS-OSL,10121,4673,5448
OSL-HAU,10835,5640,5195
BGO-TRD,12717,7762,4955
TRD-BGO,11954,7156,4798
BGO-KRS,9652,4916,4736
HAU-OSL,8890,4313,4577
TOS-TRD,7307,3315,3992
KRS-BGO,8255,4283,3972
MOL-OSL,7281,3467,3814
OSL-LYR,7182,3411,3771
BOO-TRD,7057,3286,3771
SVG-BGO,14272,10610,3662
TRD-TOS,7078,3417,3661
BOO-LKN,6022,2394,3628
BOO-BGO,6064,2553,3511
LKN-BOO,5522,2030,3492
OSL-MOL,7558,4074,3484
KSU-OSL,5740,2406,3334
BGO-SVG,13790,10580,3210
TOS-BGO,7910,4720,3190
BGO-BOO,5552,2488,3064
BGO-TOS,7542,4488,3054
BGO-TRF,6359,3330,3029
OSL-KSU,5939,2913,3026
SVJ-BOO,4722,1736,2986
EVE-BGO,3641,683,2958
LYR-OSL,4698,1935,2763
TRD-BOO,5809,3142,2667
BGO-EVE,3294,656,2638
SVG-TRD,6925,4448,2477
BOO-SVJ,4587,2160,2427
TRD-SVG,6072,3896,2176
BGO-KSU,6221,4067,2154
LKL-OSL,3031,1108,1923
OSL-LKL,2744,876,1868
BOO-TOS,4832,3114,1718
KSU-BGO,4786,3070,1716
TOS-BOO,4800,3276,1524
BOO-SVG,1485,11,1474
OSL-BNN,1263,22,1241
HFT-TOS,3134,1903,1231
OSL-HOV,2562,1370,1192
BOO-SKN,1976,854,1122
TOS-HFT,4017,2896,1121
SKN-BOO,1777,660,1117
SSJ-TRD,1983,877,1106
BGO-MOL,2735,1631,1104
VDS-TOS,2167,1063,1104
MOL-BGO,2540,1458,1082
HOV-OSL,2128,1090,1038
TRD-SSJ,2039,1037,1002
TRF-BGO,1978,1007,971
KKN-TOS,1669,709,960
FRO-OSL,1760,967,793
TOS-VDS,1627,838,789
BGO-AES,4514,3737,777
BGO-FRO,3593,2818,775
TOS-KKN,2130,1370,760
OSL-FDE,1913,1173,740
FDE-OSL,1716,994,722
TOS-LKL,2060,1354,706
OSL-FRO,2187,1501,686
LKL-TOS,1751,1071,680
MQN-TRD,1662,995,667
OSL-SDN,1145,483,662
FRO-BGO,3269,2640,629
TOS-ALF,2329,1710,619
MJF-TRD,1418,804,614
SDN-OSL,1008,412,596
BOO-SSJ,1116,521,595
BNN-BOO,955,369,586
MQN-BOO,1205,624,581
SSJ-BOO,971,408,563
LYR-TOS,1350,791,559
KKN-VDS,913,354,559
ALF-TOS,1937,1385,552
LKN-TOS,967,430,537
TOS-LYR,1913,1401,512
TRD-RVK,1417,908,509
RVK-TRD,1151,644,507
OSL-SOG,1140,637,503
TOS-ANX,941,458,483
BOO-MQN,1405,923,482
BOO-BNN,902,443,459
ANX-TOS,889,438,451
TRD-MJF,1249,817,432
TOS-HAA,838,406,432
TRD-MQN,1459,1029,430
HOV-BGO,835,427,408
HAA-TOS,681,276,405
TRD-OSY,937,535,402
BOO-MJF,1062,666,396
BGO-HOV,882,488,394
SOG-OSL,851,510,341
TOS-SOJ,647,336,311
VDS-KKN,782,504,278
TOS-EVE,620,354,266
SVG-TRF,1121,859,262
OSY-TRD,696,440,256
EVE-TOS,681,425,256
MJF-BOO,561,309,252
BOO-VRY,529,280,249
TOS-LKN,639,408,231
OSL-OLA,655,430,225
ANX-BOO,536,317,219
OSL-RRS,313,115,198
BGO-SOG,617,421,196
TOS-MEH,400,215,185
KKN-VAW,379,196,183
MEH-TOS,345,166,179
SOJ-TOS,321,150,171
AES-BGO,3307,3139,168
KKN-BJF,474,310,164
SOG-BGO,570,426,144
HVG-TOS,404,260,144
SOG-HOV,283,163,120
TOS-VAW,188,79,109
RET-BOO,317,218,99
TOS-HVG,358,266,92
SVG-BNN,174,91,83
HFT-HVG,132,50,82
KKN-BVG,176,96,80
TOS-BVG,163,93,70
ALF-BJF,133,67,66
BVG-KKN,132,66,66
BJF-TOS,150,93,57
SOG-SDN,179,127,52
BOO-RET,267,217,50
VAW-KKN,248,200,48
BJF-KKN,162,115,47
HOV-SOG,196,159,37
BOO-ANX,544,527,17
ALF-VDS,205,209,-4
KKN-ALF,395,400,-5
TRD-BNN,1424,1489,-65
BNN-TRD,1228,1359,-131
OSL-SRP,100,378,-278
TRD-KRS,19,967,-948
KRS-TRD,20,1072,-1052
